"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Megjelenített szállások egy oldalon","1110","List Hotels","test","2026-09-15","passed","2026-09-15","TestHootel","test_hootel","",""
"A belépés tesztelése","1579","Hootel Login","test","2026-09-15","passed","2026-09-15","TestHootel","test_hootel","",""
