"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A belépés tesztelése","1520","Hootel Login","test","2026-09-15","passed","2026-09-15","TestHootel","test_hootel","",""
"","1107","test_hotel_list","test","2026-09-15","passed","2026-09-15","TestHootel","test_hootel","",""
